Co_Ref,crm_customer_complained,Time_to_Renewal,crm_competitors_mentioned,crm_refund_mentioned,crm_contractor_engagement,crm_customer_payment_intention,crm_membership_overdue,crm_dissatisfaction_with_support,crm_contractor_sentiment_score,Prospect_Outcome
AB1806,Not Discussed,Not Discussed,Not Discussed,Not Discussed,1,0,Not Discussed,0,,Churned
AB1895,Not Discussed,Not Discussed,Not Discussed,Not Discussed,1,0,Not Discussed,0,,Churned
AB1960,No,14_out,No,No,0,0,Not Discussed,0,75.0,Won
AB2021,Not Discussed,Not Discussed,Not Discussed,Not Discussed,1,0,Not Discussed,0,,Churned
AB2056,No,45_out,No,No,0,0,Not Discussed,0,65.0,Won
AB2151,Not Discussed,Not Discussed,Not Discussed,Not Discussed,1,0,Not Discussed,0,,Churned
AB2419,No,45_out,No,No,0,0,Not Discussed,0,35.0,Won
AB2451,No,14_out,No,No,1,0,Not Discussed,0,25.0,Won
AB2533,No,14_out,Not Discussed,No,1,0,Not Discussed,0,0.0,Won
AB2658,No,pre_renewal,No,No,0,0,No,0,70.0,Won
AB2727,No,14_out,No,No,1,1,No,0,25.0,Churned
AB2865,Not Discussed,Not Discussed,Not Discussed,Not Discussed,1,0,Not Discussed,0,,Churned
AB2997,No,45_out,No,No,0,0,Yes,1,43.333333333333336,Won
AB3211,No,14_out,No,No,0,0,Not Discussed,0,45.0,Won
AB3251,No,14_out,No,No,0,0,Yes,0,50.0,Won
AB3560,No,14_out,No,No,0,0,No,0,85.0,Won
AB4255,No,14_out,Not Discussed,No,1,0,Yes,0,7.142857142857143,Won
AB4352,No,45_out,No,No,0,0,Not Discussed,0,50.0,Won
AB4616,Yes,14_out,Not Discussed,No,1,0,Yes,1,0.0,Churned
AB5038,No,14_out,No,No,0,0,No,0,50.0,Won
AB5642,No,14_out,No,No,1,0,No,0,0.0,Won
AB5664,Not Discussed,Not Discussed,Not Discussed,Not Discussed,1,0,Not Discussed,0,,Churned
AB5679,No,14_out,Not Discussed,No,1,0,Not Discussed,0,20.0,Won
AB6083,No,45_out,No,No,0,0,Yes,0,33.333333333333336,Won
AB6123,Not Discussed,45_out,Not Discussed,No,1,0,Not Discussed,0,7.142857142857143,Won
AB6721,No,45_out,No,No,1,0,Not Discussed,0,25.0,Won
AB6762,No,14_out,No,No,0,0,Not Discussed,1,23.33333333333333,Churned
AB6880,No,14_out,No,No,1,0,No,0,25.0,Won
AB6930,No,14_out,No,No,1,0,Not Discussed,0,12.5,Won
AB7075,Not Discussed,Not Discussed,Not Discussed,Not Discussed,1,0,Not Discussed,0,,Churned
AB7720,Not Discussed,Not Discussed,Not Discussed,Not Discussed,1,0,Not Discussed,0,,Churned
AB7963,No,14_out,No,No,0,0,Not Discussed,0,63.333333333333336,Won
AB8043,No,14_out,No,No,0,0,Not Discussed,0,35.0,Churned
AB8719,No,14_out,Not Discussed,No,1,0,Not Discussed,0,16.666666666666668,Won
AB8904,No,14_out,No,No,0,0,No,0,60.0,Won
AB9483,No,14_out,No,No,1,0,Not Discussed,0,16.666666666666668,Won
AB9496,No,14_out,No,No,0,0,Not Discussed,0,37.5,Won
AB9682,No,45_out,No,No,1,1,Yes,0,16.666666666666668,Churned
AB9837,No,14_out,Not Discussed,No,1,0,Not Discussed,0,33.333333333333336,Won
AB9976,No,45_out,No,No,1,0,Not Discussed,0,16.666666666666668,Churned
AC0174,No,45_out,No,No,1,0,Yes,0,16.666666666666668,Churned
AC0421,No,14_out,No,No,0,0,No,0,33.333333333333336,Won
AC0502,No,14_out,No,No,0,0,Not Discussed,0,60.0,Won
AC0749,No,14_out,No,No,1,0,Not Discussed,0,12.5,Won
AC1054,No,pre_renewal,Not Discussed,No,1,0,Not Discussed,0,12.5,Won
AC1671,No,14_out,No,No,1,1,No,0,33.333333333333336,Churned
AC1742,No,14_out,Not Discussed,No,1,0,No,0,10.0,Won
AC1804,No,14_out,No,No,1,0,Not Discussed,0,12.5,Won
AC1996,Not Discussed,Not Discussed,Not Discussed,Not Discussed,1,0,Not Discussed,0,,Won
AC2094,No,45_out,No,No,0,0,No,0,65.0,Won
AC2155,No,14_out,No,No,1,0,Yes,0,30.0,Churned
AC2461,No,14_out,No,No,1,0,Not Discussed,0,16.666666666666668,Won
AC2776,No,45_out,No,No,1,1,Yes,1,50.0,Churned
AC2811,No,14_out,No,No,0,1,Not Discussed,0,40.0,Won
AC2864,No,14_out,No,No,1,0,No,0,0.0,Churned
AC2986,No,14_out,Not Discussed,No,0,0,No,0,55.0,Won
AC3034,No,14_out,No,No,0,0,Not Discussed,0,45.0,Won
AC3520,No,14_out,No,No,0,0,Not Discussed,0,32.5,Won
AC3946,No,14_out,No,No,1,1,Not Discussed,1,40.0,Won
AC4328,No,pre_renewal,No,No,1,0,No,0,25.0,Won
AC4408,No,14_out,No,No,0,0,No,0,63.333333333333336,Won
AC4484,No,14_out,Not Discussed,No,0,0,Not Discussed,0,33.333333333333336,Won
AC4957,Not Discussed,Not Discussed,Not Discussed,Not Discussed,1,0,Not Discussed,0,,Churned
AC5010,No,14_out,Not Discussed,No,1,0,No,0,0.0,Won
AC5334,No,14_out,No,No,0,0,No,0,43.333333333333336,Won
AC5375,No,14_out,No,No,1,0,Yes,0,17.5,Won
AC5440,No,pre_renewal,No,No,0,1,Yes,1,20.0,Churned
AC5613,No,45_out,No,No,1,0,No,0,10.0,Won
AC5722,No,45_out,Not Discussed,No,1,0,Yes,0,20.0,Won
AC5759,No,14_out,Yes,No,0,0,No,0,60.0,Won
AC5972,No,14_out,No,No,1,0,Not Discussed,0,5.0,Churned
AC6051,No,14_out,No,No,0,0,Yes,0,46.66666666666666,Won
AC6096,No,14_out,No,No,1,0,Not Discussed,0,12.5,Won
AC6856,No,14_out,No,No,0,0,Not Discussed,0,37.5,Churned
AC6874,Yes,prior_year,Not Discussed,No,1,0,No,0,25.0,Won
AC7013,No,14_out,No,No,0,0,Not Discussed,0,33.333333333333336,Won
AC7113,No,45_out,No,No,0,0,Not Discussed,0,60.0,Won
AC7436,No,14_out,Not Discussed,No,0,0,Not Discussed,0,43.333333333333336,Won
AC7497,No,45_out,No,No,0,0,Not Discussed,1,33.333333333333336,Won
AC8349,No,14_out,No,No,0,0,Not Discussed,0,33.333333333333336,Won
AC8504,No,14_out,No,No,1,0,Not Discussed,0,15.0,Won
AC9030,Not Discussed,Not Discussed,Not Discussed,Not Discussed,1,0,Not Discussed,0,,Churned
AC9074,Not Discussed,Not Discussed,Not Discussed,Not Discussed,1,0,Not Discussed,0,,Churned
AC9264,No,14_out,No,No,1,0,No,0,25.0,Won
AC9302,No,14_out,No,No,1,0,Not Discussed,0,50.0,Churned
AC9742,No,14_out,No,No,0,0,Not Discussed,0,50.0,Won
AD0114,No,14_out,Not Discussed,No,0,0,Not Discussed,0,32.857142857142854,Won
AD0243,No,45_out,No,No,1,0,No,0,25.0,Won
AD0310,Not Discussed,Not Discussed,Not Discussed,Not Discussed,1,0,Not Discussed,0,,Churned
AD0458,No,14_out,No,No,0,0,No,0,50.0,Won
AD0638,No,45_out,No,No,0,0,No,0,43.333333333333336,Won
AD0668,No,14_out,No,No,0,0,No,0,37.5,Won
AD0761,No,14_out,No,No,0,1,Not Discussed,1,40.0,Won
AD0880,No,14_out,No,No,1,0,No,0,25.0,Won
AD0922,No,14_out,Yes,No,0,0,Not Discussed,0,47.5,Won
AD1072,No,14_out,No,No,0,0,No,0,63.333333333333336,Won
AD1343,No,14_out,No,No,0,0,No,0,54.0,Won
AD1356,No,14_out,No,No,0,1,No,0,65.0,Won
AD1563,No,14_out,No,No,1,0,Not Discussed,0,25.0,Churned
AD1655,No,14_out,No,No,1,0,Not Discussed,0,16.666666666666668,Won
AD1657,No,14_out,Not Discussed,No,1,0,Not Discussed,0,0.0,Won
AD1681,No,14_out,No,No,1,0,Not Discussed,0,50.0,Won
AD1830,No,14_out,Not Discussed,No,0,0,Not Discussed,0,43.333333333333336,Won
AD2140,No,14_out,No,No,0,0,No,0,60.0,Won
AD2220,No,14_out,No,No,0,0,No,0,75.0,Won
AD2265,No,14_out,No,No,0,0,Yes,0,33.333333333333336,Won
AD2371,No,45_out,No,No,0,0,Not Discussed,0,50.0,Won
AD2389,No,14_out,No,No,1,0,Not Discussed,0,12.5,Won
AD2839,No,14_out,Not Discussed,No,1,0,No,0,8.333333333333334,Won
AD3239,No,14_out,No,No,0,0,Not Discussed,0,65.0,Won
AD3246,No,14_out,No,No,0,0,No,0,65.0,Won
AD3632,No,14_out,No,No,1,0,Yes,0,25.0,Won
AD3672,No,14_out,No,No,0,0,No,0,65.0,Won
AD3976,No,14_out,No,No,0,0,Not Discussed,0,75.0,Won
AD4119,No,14_out,No,No,0,0,No,0,35.0,Churned
AD4863,No,45_out,No,No,0,0,No,0,60.0,Won
AD4885,Not Discussed,Not Discussed,Not Discussed,Not Discussed,1,0,Not Discussed,0,,Churned
AD5124,No,14_out,No,No,1,0,Not Discussed,0,16.666666666666668,Churned
AD5422,Not Discussed,Not Discussed,Not Discussed,Not Discussed,1,0,Not Discussed,0,,Churned
AD6195,No,14_out,No,No,1,0,Yes,0,20.0,Won
AD6202,No,pre_renewal,No,No,1,0,Yes,0,0.0,Won
AD6431,No,14_out,No,No,1,0,Yes,0,25.0,Churned
AD7117,No,14_out,No,No,0,0,Not Discussed,0,50.0,Won
AD7151,No,14_out,No,No,0,0,Yes,0,50.0,Won
AD7382,No,14_out,No,No,0,0,Not Discussed,0,60.0,Won
AD7629,No,14_out,No,No,0,0,Yes,0,37.5,Won
AD7727,No,14_out,No,No,0,0,Not Discussed,0,30.0,Won
AD7903,No,14_out,No,No,1,0,Yes,0,32.5,Won
AD8539,No,14_out,Not Discussed,No,1,0,Not Discussed,1,0.0,Churned
AD8718,No,45_out,No,No,0,0,No,0,60.0,Won
AD8935,No,14_out,No,No,1,0,No,0,0.0,Won
AD8939,No,14_out,No,No,1,0,No,1,16.666666666666668,Won
AD9098,No,14_out,No,No,0,0,No,0,43.333333333333336,Won
AD9123,No,45_out,Not Discussed,No,0,0,Not Discussed,0,50.0,Won
AD9391,No,pre_renewal,No,No,0,0,Yes,0,50.0,Churned
AD9995,No,14_out,No,No,1,0,Not Discussed,0,0.0,Won
AE0019,No,14_out,Not Discussed,No,0,0,Not Discussed,0,37.5,Won
AE0118,No,14_out,No,No,1,0,No,0,40.0,Churned
AE0167,No,45_out,No,No,1,0,Yes,0,16.666666666666668,Churned
AE0283,No,14_out,Not Discussed,No,1,0,No,1,0.0,Won
AE0497,No,14_out,No,No,0,0,Not Discussed,0,80.0,Won
AE0975,No,14_out,No,No,0,0,No,0,66.66666666666667,Won
AE1350,No,14_out,No,No,0,1,Yes,0,33.333333333333336,Churned
AE1387,No,14_out,No,No,0,0,Not Discussed,0,37.5,Won
AE1618,No,14_out,No,No,0,0,No,0,90.0,Won
AE1692,No,45_out,No,No,1,0,No,0,25.0,Won
AE2350,Not Discussed,Not Discussed,Not Discussed,Not Discussed,1,0,Not Discussed,0,,Won
AE2648,No,45_out,No,No,0,0,Not Discussed,0,33.333333333333336,Won
AE2724,No,14_out,No,No,0,0,Not Discussed,0,66.66666666666667,Won
AE2866,No,14_out,Not Discussed,No,1,0,Not Discussed,0,10.0,Won
AE2871,No,14_out,No,No,1,1,Not Discussed,1,43.333333333333336,Churned
AE2874,No,14_out,No,No,1,0,Not Discussed,1,25.0,Won
AE3575,No,14_out,No,No,1,0,Not Discussed,0,0.0,Won
AE3806,No,45_out,No,No,0,0,No,0,50.0,Won
AE4304,No,14_out,No,No,0,0,Yes,0,37.5,Won
AE4321,No,14_out,No,No,0,0,Not Discussed,0,30.0,Won
AE4702,No,14_out,No,No,1,0,Not Discussed,0,26.0,Won
AE4711,No,14_out,No,No,1,1,Not Discussed,1,40.0,Won
AE4779,No,14_out,No,No,0,0,Yes,0,33.333333333333336,Won
AE4799,No,14_out,No,No,0,0,No,0,50.0,Won
AE4912,Not Discussed,Not Discussed,Not Discussed,Not Discussed,1,0,Not Discussed,0,,Won
AE5370,No,45_out,Not Discussed,No,1,0,Not Discussed,0,16.666666666666668,Won
AE5387,No,45_out,Not Discussed,No,1,0,Not Discussed,0,20.0,Won
AE5744,No,14_out,No,No,1,0,No,0,25.0,Won
AE5853,No,14_out,No,No,0,1,Not Discussed,0,47.5,Won
AE5993,No,14_out,No,No,1,0,Not Discussed,0,25.0,Won
AE6233,No,14_out,No,No,0,0,No,0,33.333333333333336,Won
AE6472,No,14_out,No,No,0,0,Yes,0,30.0,Won
AE6720,No,14_out,No,No,1,0,No,0,25.0,Won
AE6844,No,14_out,Not Discussed,No,1,0,Not Discussed,0,31.666666666666668,Won
AE7044,No,14_out,No,No,0,0,Not Discussed,1,37.5,Won
AE7407,No,14_out,No,No,0,0,Yes,0,33.333333333333336,Churned
AE7571,No,14_out,No,No,0,0,Not Discussed,0,50.0,Won
AE7655,Not Discussed,Not Discussed,Not Discussed,Not Discussed,1,0,Not Discussed,0,,Churned
AE7667,No,14_out,No,No,1,0,Not Discussed,0,16.666666666666668,Churned
AE7735,No,14_out,No,No,0,0,Yes,0,50.0,Won
AE7800,No,45_out,No,No,1,0,Not Discussed,0,6.666666666666667,Won
AE7906,No,45_out,No,No,1,0,No,0,23.33333333333333,Won
AE8061,No,14_out,No,No,0,0,Not Discussed,0,47.5,Won
AE8207,No,14_out,No,No,0,0,Not Discussed,0,76.66666666666667,Won
AE8961,No,14_out,No,No,0,1,Not Discussed,0,33.333333333333336,Churned
AE9025,No,14_out,No,No,1,1,No,0,23.33333333333333,Churned
AE9247,No,14_out,No,No,0,0,Not Discussed,0,33.333333333333336,Won
AE9291,No,14_out,No,No,1,0,Not Discussed,0,25.0,Won
AE9335,No,14_out,No,No,0,0,Not Discussed,0,33.333333333333336,Won
AE9377,No,14_out,No,No,1,0,No,1,50.0,Churned
AF0296,No,45_out,Not Discussed,No,0,0,Not Discussed,0,40.0,Won
AF0868,No,14_out,Not Discussed,No,1,0,Not Discussed,0,14.285714285714286,Won
AF1047,Not Discussed,Not Discussed,Not Discussed,Not Discussed,1,0,Not Discussed,0,,Churned
AF1252,No,14_out,No,No,0,0,Not Discussed,0,70.0,Won
AF1667,No,14_out,Not Discussed,No,1,0,Not Discussed,0,25.0,Won
AF1713,No,14_out,No,No,1,0,Not Discussed,0,12.5,Won
AF1969,No,14_out,No,No,0,0,No,0,50.0,Won
AF1971,No,14_out,No,No,1,0,Not Discussed,0,16.666666666666668,Won
AF2042,Not Discussed,Not Discussed,Not Discussed,Not Discussed,1,0,Not Discussed,0,,Won
AF2686,No,pre_renewal,No,No,1,0,Yes,0,25.0,Won
AF2711,No,45_out,No,No,1,0,No,0,21.666666666666668,Won
AF2845,No,14_out,No,No,1,0,No,0,17.5,Churned
AF2894,No,14_out,No,No,1,0,Not Discussed,0,0.0,Won
AF3164,No,45_out,No,No,1,0,No,0,25.0,Won
AF3408,No,14_out,No,No,1,0,Yes,0,16.666666666666668,Won
AF3809,No,14_out,No,No,1,0,Not Discussed,0,16.666666666666668,Won
AF3897,No,45_out,No,No,0,1,Yes,0,33.333333333333336,Churned
AF3924,No,prior_year,No,No,1,0,Yes,0,0.0,Won
AF4099,Not Discussed,Not Discussed,Not Discussed,Not Discussed,1,0,Not Discussed,0,,Churned
AF4359,No,14_out,No,No,1,0,Not Discussed,0,25.0,Won
AF4368,No,14_out,No,No,0,0,No,0,23.33333333333333,Won
AF4598,No,14_out,No,No,0,0,Not Discussed,0,37.5,Won
AF4674,No,14_out,No,No,1,0,Not Discussed,0,25.0,Won
AF4721,No,45_out,No,No,1,0,Not Discussed,0,25.0,Won
AF4921,No,14_out,No,No,0,1,No,0,50.0,Churned
AF5076,No,14_out,Not Discussed,No,1,0,Not Discussed,0,0.0,Won
AF5367,No,45_out,Not Discussed,No,1,0,No,0,28.0,Won
AF5796,No,45_out,No,No,0,0,Not Discussed,0,50.0,Won
AF5831,No,14_out,Not Discussed,No,0,0,Not Discussed,0,66.66666666666667,Won
AF5853,No,14_out,No,No,0,0,Not Discussed,0,70.0,Won
AF5913,No,14_out,Not Discussed,No,1,0,Not Discussed,0,0.0,Churned
AF6271,No,14_out,No,No,1,0,No,0,16.666666666666668,Won
AF6793,No,14_out,No,No,0,0,Not Discussed,0,43.333333333333336,Won
AF6988,No,pre_renewal,Not Discussed,No,1,0,Not Discussed,0,34.0,Won
AF7087,No,14_out,No,No,0,0,No,0,40.0,Won
AF7143,No,14_out,No,No,1,0,Yes,0,20.0,Churned
AF7227,No,45_out,No,No,0,0,No,0,70.0,Won
AF7284,No,14_out,No,No,0,0,Not Discussed,0,43.333333333333336,Won
AF8028,No,14_out,No,No,0,0,No,0,56.66666666666666,Won
AF8183,No,14_out,Not Discussed,No,1,0,Not Discussed,0,20.0,Won
AF8370,No,14_out,No,No,1,0,Not Discussed,0,6.666666666666667,Won
AF8619,Not Discussed,Not Discussed,Not Discussed,Not Discussed,1,0,Not Discussed,0,,Churned
AF8693,No,14_out,No,No,1,0,Not Discussed,0,37.5,Won
AF8874,No,14_out,No,No,1,0,Not Discussed,0,25.0,Won
AF9548,No,14_out,No,No,1,0,No,0,16.666666666666668,Won
AG0573,No,14_out,No,No,1,0,Not Discussed,0,25.0,Won
AG0595,No,14_out,Not Discussed,No,1,0,Not Discussed,0,16.666666666666668,Won
AG0927,No,14_out,No,No,0,0,Not Discussed,0,90.0,Won
AG1011,No,45_out,No,No,1,0,Not Discussed,0,0.0,Won
AG1723,No,14_out,No,No,0,0,Yes,0,60.0,Won
AG2007,No,14_out,No,No,1,0,Not Discussed,0,16.666666666666668,Won
AG2246,No,14_out,No,No,1,0,No,0,12.5,Won
AG2463,No,14_out,No,No,1,0,Yes,0,16.666666666666668,Won
AG2757,No,14_out,No,No,1,0,No,0,25.0,Won
AG2870,No,14_out,Not Discussed,No,1,0,Not Discussed,0,16.666666666666668,Won
AG3199,No,14_out,Not Discussed,No,1,0,Not Discussed,0,14.285714285714286,Won
AG3202,No,14_out,No,No,0,0,Yes,0,37.5,Won
AG3503,No,14_out,Not Discussed,No,0,0,Not Discussed,0,33.333333333333336,Won
AG3551,No,14_out,No,No,1,1,No,1,20.0,Churned
AG3552,No,45_out,No,No,0,0,Yes,0,33.333333333333336,Won
AG3778,No,14_out,No,No,1,0,Not Discussed,0,20.0,Won
AG3828,No,14_out,No,No,0,0,No,0,33.333333333333336,Won
AG3866,No,14_out,Not Discussed,No,1,0,Not Discussed,0,16.666666666666668,Won
AG3928,No,45_out,No,No,0,0,No,0,50.0,Won
AG4578,No,prior_year,Not Discussed,No,1,0,Not Discussed,0,0.0,Won
AG4897,No,pre_renewal,No,No,1,0,Not Discussed,0,25.0,Churned
AG4971,No,14_out,Not Discussed,No,1,0,Not Discussed,0,10.0,Won
AG4986,No,14_out,No,No,0,0,Not Discussed,0,50.0,Won
AG5151,No,14_out,No,No,1,1,Yes,0,16.666666666666668,Churned
AG5175,No,14_out,No,No,0,0,Not Discussed,0,33.333333333333336,Won
AG5519,No,14_out,No,No,1,0,Not Discussed,0,25.0,Won
AG5592,No,14_out,No,No,1,0,Not Discussed,0,40.0,Churned
AG5729,No,14_out,No,No,0,0,No,0,33.333333333333336,Won
AG5956,No,14_out,No,No,1,0,Not Discussed,0,25.0,Won
AG6396,No,pre_renewal,No,No,1,0,Yes,0,25.0,Won
AG6497,No,14_out,No,No,0,0,Not Discussed,0,55.0,Won
AG6811,No,14_out,Not Discussed,No,1,0,Not Discussed,0,30.0,Won
AG7281,No,14_out,No,No,0,0,Not Discussed,0,33.333333333333336,Won
AG7361,Not Discussed,Not Discussed,Not Discussed,Not Discussed,1,0,Not Discussed,0,,Churned
AG7504,No,14_out,No,No,1,0,Not Discussed,1,5.0,Won
AG7540,No,14_out,No,No,1,0,Not Discussed,0,16.666666666666668,Won
AG7545,No,14_out,No,No,0,0,No,0,63.333333333333336,Won
AG7595,No,14_out,No,No,1,0,Not Discussed,0,17.5,Churned
AG7687,No,14_out,No,No,1,0,Not Discussed,0,30.0,Won
AG7796,No,14_out,Not Discussed,No,1,0,Not Discussed,0,16.666666666666668,Won
AG7901,No,14_out,No,No,0,0,No,0,43.333333333333336,Won
AG8127,No,14_out,No,No,0,0,Not Discussed,0,50.0,Won
AG8323,No,45_out,Not Discussed,No,1,0,Not Discussed,0,13.333333333333334,Won
AG8779,No,14_out,No,No,1,0,Not Discussed,0,25.0,Won
AG8867,No,14_out,No,No,0,0,No,0,33.333333333333336,Won
AG8873,No,14_out,No,No,0,0,Not Discussed,0,75.0,Won
AG9196,No,14_out,No,No,1,0,No,0,16.666666666666668,Won
AG9457,No,14_out,No,No,1,1,Not Discussed,0,25.0,Churned
AG9655,No,14_out,No,No,0,0,No,0,43.333333333333336,Won
AG9946,No,prior_year,No,No,1,0,Yes,0,20.0,Won
AH0475,No,pre_renewal,No,No,1,0,Not Discussed,0,25.0,Won
AH0530,No,14_out,No,No,1,0,Not Discussed,0,16.666666666666668,Won
AH0535,No,45_out,No,No,1,0,Yes,0,0.0,Won
AH0741,No,14_out,No,No,1,0,Not Discussed,0,16.666666666666668,Won
AH0860,No,14_out,No,No,1,0,No,0,25.0,Won
AH1089,No,14_out,No,No,0,0,No,0,60.0,Won
AH1194,No,14_out,No,No,0,0,Yes,0,33.333333333333336,Won
AH1272,Not Discussed,Not Discussed,Not Discussed,Not Discussed,1,0,Not Discussed,0,,Churned
AH1333,No,14_out,No,No,1,0,Not Discussed,0,25.0,Won
AH1499,No,14_out,No,No,0,0,Not Discussed,0,50.0,Won
AH1722,No,14_out,No,No,0,0,Not Discussed,0,33.333333333333336,Won
AH1806,No,45_out,No,No,1,0,No,0,25.0,Won
AH1917,No,14_out,No,No,1,0,Not Discussed,0,26.666666666666668,Churned
AH2159,No,14_out,No,No,1,0,No,0,16.666666666666668,Churned
AH2284,No,45_out,No,No,0,0,Not Discussed,0,43.333333333333336,Won
AH2523,No,45_out,No,No,0,0,No,0,33.333333333333336,Won
AH2548,No,14_out,Not Discussed,No,1,0,Not Discussed,0,0.0,Won
AH2799,No,14_out,No,No,0,0,Not Discussed,0,57.5,Won
AH2822,Yes,14_out,No,No,1,1,No,1,20.0,Churned
AH3231,No,45_out,No,No,0,0,Not Discussed,0,23.33333333333333,Won
AH3239,No,14_out,No,No,0,0,No,0,43.333333333333336,Won
AH3411,No,14_out,No,No,1,0,Not Discussed,0,25.0,Churned
AH3544,No,prior_year,Not Discussed,No,1,0,No,0,20.0,Won
AH3842,Not Discussed,Not Discussed,Not Discussed,Not Discussed,1,0,Not Discussed,0,,Churned
AH4514,No,prior_year,No,No,1,0,Yes,0,20.0,Won
AH4607,No,14_out,No,No,0,1,No,0,35.0,Churned
AH5150,No,pre_renewal,No,No,0,0,Not Discussed,0,70.0,Won
AH5460,No,14_out,No,No,0,0,Not Discussed,0,50.0,Won
AH5597,No,14_out,Not Discussed,No,1,0,Not Discussed,0,20.0,Won
AH5662,No,14_out,Not Discussed,No,1,0,Not Discussed,0,14.285714285714286,Won
AH5736,No,14_out,No,No,1,0,No,0,25.0,Won
AH6347,No,14_out,No,No,0,0,Not Discussed,0,63.333333333333336,Won
AH7064,No,14_out,No,No,0,0,No,0,65.0,Won
AH7143,No,14_out,No,No,0,0,Not Discussed,0,57.5,Won
AH7303,No,14_out,No,No,0,0,Not Discussed,0,43.333333333333336,Won
AH7592,No,14_out,No,No,0,0,No,1,40.0,Won
AH8020,No,14_out,No,No,1,0,Not Discussed,0,37.5,Won
AH8259,No,prior_year,No,No,1,0,Yes,0,0.0,Won
AH8976,No,45_out,Not Discussed,No,1,0,Not Discussed,0,0.0,Won
AH9172,No,14_out,Not Discussed,No,1,0,Not Discussed,0,0.0,Won
AH9570,No,45_out,No,No,0,0,Yes,0,33.333333333333336,Won
